UNFRMD_S,S,RANK_SUBCA,UNFRMD_SRVC_OCCPTN_TX,J,JDL_RCRD_CHNG_DT,JDL,BLANK
 49C,A,O,"Operations Research, Combat Operations/Weapon Systems",, 2000-01-12 00:00:00,JDL, 
 49D,A,O,"Operations Research, Planning, Programming and Resource Management",, 2000-01-12 00:00:00,JDL, 
 49E,A,O,"Operations Research, Test and Evaluation",, 2000-01-12 00:00:00,JDL, 
 49W,A,O,"Trained, Operations Research/System Analysis",, 2000-01-12 00:00:00,JDL, 
 49X,A,O,"Untrained, Operations Research/System Analysis",, 2000-01-12 00:00:00,JDL, 
 5000,A,O,Recreation Services Officer,, 2000-01-12 00:00:00,JDL, 
 500A,A,W,Marine Deck Officer,, 2000-01-12 00:00:00,JDL, 
 50A,A,O,Force Development,, 2000-01-12 00:00:00,JDL, 
 510A,A,W,Marine Engineering Officer,, 2000-01-12 00:00:00,JDL, 
 51A,A,E,Construction & Utilities Worker,, 2000-01-12 00:00:00,JDL, 
 51A,A,O,Systems Development,, 2000-01-12 00:00:00,JDL, 
 51B,A,E,Carpentry & Masonry Specialist,, 2000-01-12 00:00:00,JDL, 
 51B,A,O,Test & Evaluation,, 2000-01-12 00:00:00,JDL, 
 51C,A,E,Structures Specialist,, 2000-01-12 00:00:00,JDL, 
 51C,A,O,Contracting and Industrial Management,, 2000-01-12 00:00:00,JDL, 
 51D,A,E,Mason,, 2000-01-12 00:00:00,JDL, 
 51D,A,O,Acquisition,, 2000-01-12 00:00:00,JDL, 
 51E,A,E,Camouflage Specialist,, 2000-01-12 00:00:00,JDL, 
 51F,A,E,Pipeline Specialist,, 2000-01-12 00:00:00,JDL, 
 51G,A,E,Materials Quality Specialist,, 2000-01-12 00:00:00,JDL, 
 51H,A,E,Construction Engineering Supervisor,, 2000-01-12 00:00:00,JDL, 
 51J,A,E,Heating & Ventilating Specialist,, 2000-01-12 00:00:00,JDL, 
 51K,A,E,Plumber,, 2000-01-12 00:00:00,JDL, 
 51L,A,E,Heating & Cooling Specialist,, 2000-01-12 00:00:00,JDL, 
 51M,A,E,Fire Fighter,, 2000-01-12 00:00:00,JDL, 
 51N,A,E,Water Treatment & Plumbing Systems Specialist,, 2000-01-12 00:00:00,JDL, 
 51P,A,E,Utilities Engineering Supervisor,, 2000-01-12 00:00:00,JDL, 
 51R,A,E,Interior Electrician,, 2000-01-12 00:00:00,JDL, 
 51R,A,O,Systems Automation Acquisition and Engineering,, 2000-01-12 00:00:00,JDL, 
 51S,A,O,Research and Engineering,, 2000-01-12 00:00:00,JDL, 
 51T,A,E,Technical Engineering Specialist,, 2000-01-12 00:00:00,JDL, 
 51Z,A,E,General Engineering Supervisor,, 2000-01-12 00:00:00,JDL, 
 51Z,A,O,Acquisition,, 2000-01-12 00:00:00,JDL, 
 520,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 521A,A,W,Utilities Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 5241,A,O,Army Band Officer,, 2000-01-12 00:00:00,JDL, 
 52A,A,O,"Nuclear Weapons, General",, 2000-01-12 00:00:00,JDL, 
 52B,A,E,Power Generation Equipment Operator/Mechanic,, 2000-01-12 00:00:00,JDL, 
 52B,A,O,Nuclear Research and Operations,, 2000-01-12 00:00:00,JDL, 
 52C,A,E,Utilities Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 52D,A,E,Power Generation Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 52E,A,E,Prime Power Production Specialist,, 2000-01-12 00:00:00,JDL, 
 52F,A,E,Turbine Engine Driven Generator Repairer,, 2000-01-12 00:00:00,JDL, 
 52G,A,E,Transmission & Distribution Specialist,, 2000-01-12 00:00:00,JDL, 
 52H,A,E,Nuclear Power Plant Mechanic/Operator,, 2000-01-12 00:00:00,JDL, 
 52J,A,E,Nuclear Power Plant Electrician/Operator,, 2000-01-12 00:00:00,JDL, 
 52K,A,E,Nuclear Power Plant Instrumentman/Operator,, 2000-01-12 00:00:00,JDL, 
 52L,A,E,Nuclear Power Plant Process Control Specialist/Operator,, 2000-01-12 00:00:00,JDL, 
 52M,A,E,Nuclear Power Plant Chief,, 2000-01-12 00:00:00,JDL, 
 52X,A,E,Special Purpose Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 530,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 5310,A,O,Chaplain,, 2000-01-12 00:00:00,JDL, 
 53A,A,O,Systems Automation Management,, 2000-01-12 00:00:00,JDL, 
 53B,A,E,Industrial Gas Production Specialist (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 53B,A,O,Systems Automation Engineering,, 2000-01-12 00:00:00,JDL, 
 53C,A,E,Carbon Dioxide-Hydrogen Production Specialist,, 2000-01-12 00:00:00,JDL, 
 53C,A,O,Systems Automation Acquisition,, 2000-01-12 00:00:00,JDL, 
 53X,A,O,Designated Systems Automation,, 2000-01-12 00:00:00,JDL, 
 540,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 5400,A,O,Publications Officer,, 2000-01-12 00:00:00,JDL, 
 54A,A,E,Chemical Operations Assistant,, 2000-01-12 00:00:00,JDL, 
 54A,A,O,"Operations, Plans & Training",, 2000-01-12 00:00:00,JDL, 
 54B,A,E,Chemical Operations Specialist,, 2000-01-12 00:00:00,JDL, 
 54B,A,O,Combat Development Officer,, 2000-01-12 00:00:00,JDL, 
 54C,A,E,Smoke Operations Specialist,, 2000-01-12 00:00:00,JDL, 
 54C,A,O,Force Development,, 2000-01-12 00:00:00,JDL, 
 54D,A,E,Chemical Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 54E,A,E,NBC Specialist,, 2000-01-12 00:00:00,JDL, 
 54Z,A,E,Chemical Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 5503,A,O,Public Education Officer,, 2000-01-12 00:00:00,JDL, 
 5505,A,O,Information Officer,, 2000-01-12 00:00:00,JDL, 
 550A,A,W,Legal Administrator,, 2000-01-12 00:00:00,JDL, 
 5522,A,O,Broadcast Officer,, 2000-01-12 00:00:00,JDL, 
 5525,A,O,Physical Reconditioning Officer,, 2000-01-12 00:00:00,JDL, 
 55A,A,E,Ammunition Helper,, 2000-01-12 00:00:00,JDL, 
 55A,A,O,"Judge Advocate, General",, 2000-01-12 00:00:00,JDL, 
 55B,A,E,Ammunition Specialist,, 2000-01-12 00:00:00,JDL, 
 55B,A,O,Military Judge,, 2000-01-12 00:00:00,JDL, 
 55C,A,E,Ammunition Specialist,, 2000-01-12 00:00:00,JDL, 
 55C,A,O,Patent Lawyer,, 2000-01-12 00:00:00,JDL, 
 55D,A,E,Explosive Ordnance Disposal Specialist,, 2000-01-12 00:00:00,JDL, 
 55G,A,E,Nuclear Weapons Specialist,, 2000-01-12 00:00:00,JDL, 
 55R,A,E,Ammunition Stock Control & Accounting Specialist,, 2000-01-12 00:00:00,JDL, 
 55X,A,E,Ammunition Inspector,, 2000-01-12 00:00:00,JDL, 
 55Z,A,E,Ammunition Supervisor,, 2000-01-12 00:00:00,JDL, 
 561B,A,W,Harbormaster/Pilot,, 2000-01-12 00:00:00,JDL, 
 561C,A,W,"Vessel Master, Unlimited",, 2000-01-12 00:00:00,JDL, 
 561D,A,W,"Vessel Master, Coastal; Mate, Unlimited",, 2000-01-12 00:00:00,JDL, 
 561E,A,W,Mate,, 2000-01-12 00:00:00,JDL, 
 562B,A,W,Marine Engineering Technician/Marine Inspector,, 2000-01-12 00:00:00,JDL, 
 562C,A,W,"Chief Engineer, Unlimited",, 2000-01-12 00:00:00,JDL, 
 562D,A,W,"Chief Engineer, Coastal; Assistant Engineer, Unlimited",, 2000-01-12 00:00:00,JDL, 
 562E,A,W,Assistant Engineer,, 2000-01-12 00:00:00,JDL, 
 56A,A,O,Command & Unit Chaplain,, 2000-01-12 00:00:00,JDL, 
 56B,A,O,Family Life Chaplain,, 2000-01-12 00:00:00,JDL, 
 56C,A,O,Hospital Chaplain,, 2000-01-12 00:00:00,JDL, 
 56D,A,O,Clinical Pastoral Educator,, 2000-01-12 00:00:00,JDL, 
 57A,A,E,Duty Soldier,, 2000-01-12 00:00:00,JDL, 
 57A,A,O,Simulations Operations Officer,, 2000-01-12 00:00:00,JDL, 
 57D,A,E,Sawyer,, 2000-01-12 00:00:00,JDL, 
 57E,A,E,Laundry & Bath Specialist,, 2000-01-12 00:00:00,JDL, 
 57F,A,E,Mortuary Affairs Specialist,, 2000-01-12 00:00:00,JDL, 
 57G,A,E,Duty Foreman,, 2000-01-12 00:00:00,JDL, 
 57H,A,E,Cargo Specialist,, 2000-01-12 00:00:00,JDL, 
 5900,A,O,Public Welfare Officer,, 2000-01-12 00:00:00,JDL, 
 59A,A,O,Strategic Plans and Policy,, 2000-01-12 00:00:00,JDL, 
 600A,A,W,Physician's Assistant,, 2000-01-12 00:00:00,JDL, 
 6010,A,O,Public Finance Officer,, 2000-01-12 00:00:00,JDL, 
 60A,A,O,Operational Medicine Officer,, 2000-01-12 00:00:00,JDL, 
 60B,A,O,Nuclear Medical Officer,, 2000-01-12 00:00:00,JDL, 
 60C,A,O,Preventive Medicine Officer,, 2000-01-12 00:00:00,JDL, 
 60D,A,O,Occupational Medicine Officer,, 2000-01-12 00:00:00,JDL, 
 60E,A,O,General Medical Officer,, 2000-01-12 00:00:00,JDL, 
 60F,A,O,Pulmonary Disease Officer,, 2000-01-12 00:00:00,JDL, 
 60G,A,O,Gastroenterologist,, 2000-01-12 00:00:00,JDL, 
 60H,A,O,Cardiologist,, 2000-01-12 00:00:00,JDL, 
 60J,A,O,Obstetrician & Gynecologist,, 2000-01-12 00:00:00,JDL, 
 60K,A,O,Urologist,, 2000-01-12 00:00:00,JDL, 
 60L,A,O,Dermatologist,, 2000-01-12 00:00:00,JDL, 
 60M,A,O,Allergist/Clinical Immunologist,, 2000-01-12 00:00:00,JDL, 
 60N,A,O,Anesthesiologist,, 2000-01-12 00:00:00,JDL, 
 60P,A,O,Pediatrician,, 2000-01-12 00:00:00,JDL, 
 60Q,A,O,Pediatric Cardiologist,, 2000-01-12 00:00:00,JDL, 
 60R,A,O,Child Neurologist,, 2000-01-12 00:00:00,JDL, 
 60S,A,O,Ophthalmologist,, 2000-01-12 00:00:00,JDL, 
 60T,A,O,Otolaryngologist,, 2000-01-12 00:00:00,JDL, 
 60U,A,O,Child Psychiatrist,, 2000-01-12 00:00:00,JDL, 
 60V,A,O,Neurologist,, 2000-01-12 00:00:00,JDL, 
 60W,A,O,Psychiatrist,, 2000-01-12 00:00:00,JDL, 
 60Z,A,O,Hematologist,, 2000-01-12 00:00:00,JDL, 
 6100,A,O,Finance & Accounting Officer,, 2000-01-12 00:00:00,JDL, 
 6101,A,O,Accounting Officer,, 2000-01-12 00:00:00,JDL, 
 61A,A,E,Seaman,, 2000-01-12 00:00:00,JDL, 
 61A,A,O,Nephrologist,, 2000-01-12 00:00:00,JDL, 
 61B,A,E,Watercraft Operator,, 2000-01-12 00:00:00,JDL, 
 61B,A,O,Medical Oncologist/Hematologist,, 2000-01-12 00:00:00,JDL, 
 61C,A,E,Watercraft Engineer,, 2000-01-12 00:00:00,JDL, 
 61C,A,O,Endocrinologist,, 2000-01-12 00:00:00,JDL, 
 61D,A,E,Amphibian Operator,, 2000-01-12 00:00:00,JDL, 
 61D,A,O,Rheumatologist,, 2000-01-12 00:00:00,JDL, 
 61E,A,E,Amphibian Engineer,, 2000-01-12 00:00:00,JDL, 
 61E,A,O,Clinical Pharmacologist,, 2000-01-12 00:00:00,JDL, 
 61F,A,E,Marine Hull Repairer,, 2000-01-12 00:00:00,JDL, 
 61F,A,O,Internist,, 2000-01-12 00:00:00,JDL, 
 61G,A,O,Infectious Disease Officer,, 2000-01-12 00:00:00,JDL, 
 61H,A,O,Family Physician,, 2000-01-12 00:00:00,JDL, 
 61J,A,O,General Surgeon,, 2000-01-12 00:00:00,JDL, 
 61K,A,O,Thoracic Surgeon,, 2000-01-12 00:00:00,JDL, 
 61L,A,O,Plastic Surgeon,, 2000-01-12 00:00:00,JDL, 
 61M,A,O,Orthopedic Surgeon,, 2000-01-12 00:00:00,JDL, 
 61N,A,O,Flight Surgeon,, 2000-01-12 00:00:00,JDL, 
 61P,A,O,Physiatrist,, 2000-01-12 00:00:00,JDL, 
 61Q,A,O,Therapeutic Radiologist,, 2000-01-12 00:00:00,JDL, 
 61R,A,O,Diagnostic Radiogist,, 2000-01-12 00:00:00,JDL, 
 61S,A,O,Radiologist,, 2000-01-12 00:00:00,JDL, 
 61T,A,O,Anatomical Pathologist,, 2000-01-12 00:00:00,JDL, 
 61U,A,O,Pathologist,, 2000-01-12 00:00:00,JDL, 
 61V,A,O,Clinical Pathologist,, 2000-01-12 00:00:00,JDL, 
 61W,A,O,Peripheral Vascular Surgeon,, 2000-01-12 00:00:00,JDL, 
 61Z,A,E,Marine Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 61Z,A,O,Neurosurgeon,, 2000-01-12 00:00:00,JDL, 
 6200,A,O,Finance Staff Officer,, 2000-01-12 00:00:00,JDL, 
 6201,A,O,Finance Disbursing Officer,, 2000-01-12 00:00:00,JDL, 
 621A,A,W,Engineer Equipment Repair Technician,, 2000-01-12 00:00:00,JDL, 
 62A,A,O,Emergency Physician,, 2000-01-12 00:00:00,JDL, 
 62B,A,E,Construction Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 62B,A,O,Field Surgeon,, 2000-01-12 00:00:00,JDL, 
 62C,A,E,Engineer Missile Equipment Specialist,, 2000-01-12 00:00:00,JDL, 
 62D,A,E,Asphalt Equipment Operator,, 2000-01-12 00:00:00,JDL, 
 62E,A,E,Heavy Construction Equipment Operator,, 2000-01-12 00:00:00,JDL, 
 62F,A,E,Crane Operator,, 2000-01-12 00:00:00,JDL, 
 62G,A,E,Quarrying Specialist,, 2000-01-12 00:00:00,JDL, 
 62H,A,E,Concrete & Asphalt Equipment Operator,, 2000-01-12 00:00:00,JDL, 
 62J,A,E,General Construction Equipment Operator,, 2000-01-12 00:00:00,JDL, 
 62K,A,E,Grader Operator,, 2000-01-12 00:00:00,JDL, 
 62L,A,E,Wheeled Tractor Operator,, 2000-01-12 00:00:00,JDL, 
 62M,A,E,Rough Terrain Forklift & Loader Operator,, 2000-01-12 00:00:00,JDL, 
 62N,A,E,Construction Equipment Supervisor,, 2000-01-12 00:00:00,JDL, 
 6302,A,O,Program/Budget Officer,, 2000-01-12 00:00:00,JDL, 
 630A,A,W,Wheel Vehicle Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 630B,A,W,Light Systems Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 630C,A,W,Field Artillery Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 630D,A,W,Maintenance Technician Wheeled Vehicle,, 2000-01-12 00:00:00,JDL, 
 630E,A,W,Support/Staff Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 631A,A,W,Automotive Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 632A,A,W,Automotive Repair Technician,, 2000-01-12 00:00:00,JDL, 
 63A,A,E,Mechanical Maintenance Helper,, 2000-01-12 00:00:00,JDL, 
 63A,A,O,General Dentist,, 2000-01-12 00:00:00,JDL, 
 63B,A,E,Light Wheel Vehicle Mechanic,, 2000-01-12 00:00:00,JDL, 
 63B,A,O,Comprehensive Dentist,, 2000-01-12 00:00:00,JDL, 
 63C,A,E,Track Vehicle Mechanic,, 2000-01-12 00:00:00,JDL, 
 63C,A,O,Oral Medicine Officer,, 2000-01-12 00:00:00,JDL, 
 63D,A,E,Self-Propelled Field Artillery System Mechanic,, 2000-01-12 00:00:00,JDL, 
 63D,A,O,Periodontist,, 2000-01-12 00:00:00,JDL, 
 63E,A,E,M1 ABRAMS Tank System Mechanic,, 2000-01-12 00:00:00,JDL, 
 63E,A,O,Endodontist,, 2000-01-12 00:00:00,JDL, 
 63F,A,E,Recovery Specialist,, 2000-01-12 00:00:00,JDL, 
 63F,A,O,Prosthodontist,, 2000-01-12 00:00:00,JDL, 
 63G,A,E,Fuel & Electrical System Repairer,, 2000-01-12 00:00:00,JDL, 
 63G,A,O,"Prosthodontist, Removable",, 2000-01-12 00:00:00,JDL, 
 63H,A,E,Track Vehicle Repairer,, 2000-01-12 00:00:00,JDL, 
 63H,A,O,Public Health Dentist,, 2000-01-12 00:00:00,JDL, 
 63J,A,E,Quartermaster & Chemical Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 63K,A,E,QM Heavy Equipment Repairman,, 2000-01-12 00:00:00,JDL, 
 63K,A,O,Pediatric Dentist,, 2000-01-12 00:00:00,JDL, 
 63M,A,O,Orthodonist,, 2000-01-12 00:00:00,JDL, 
 63N,A,E,M60A1/A3 Tank System Mechanic,, 2000-01-12 00:00:00,JDL, 
 63N,A,O,Oral and Maxillofacial Surgeon,, 2000-01-12 00:00:00,JDL, 
 63P,A,O,Oral Pathologist,, 2000-01-12 00:00:00,JDL, 
 63R,A,E,M60A2 Tank System Mechanic,, 2000-01-12 00:00:00,JDL, 
 63R,A,O,Executive Dentist,, 2000-01-12 00:00:00,JDL, 
 63S,A,E,Heavy Wheel Vehicle Mechanic,, 2000-01-12 00:00:00,JDL, 
 63T,A,E,BFV System Mechanic,, 2000-01-12 00:00:00,JDL, 
 63W,A,E,Wheel Vehicle Repairer,, 2000-01-12 00:00:00,JDL, 
 63Y,A,E,Track Vehicle Mechanic,, 2000-01-12 00:00:00,JDL, 
 63Z,A,E,Mechanical Maintenance Supervisor,, 2000-01-12 00:00:00,JDL, 
 640,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 6400,A,O,Statistician,, 2000-01-12 00:00:00,JDL, 
 640A,A,W,Veterinary Services Technician,, 2000-01-12 00:00:00,JDL, 
 6410,A,O,Economist,, 2000-01-12 00:00:00,JDL, 
 64A,A,O,Senior Veterinarian,, 2000-01-12 00:00:00,JDL, 
 64B,A,O,Veterinary Staff Officer,, 2000-01-12 00:00:00,JDL, 
 64C,A,E,Motor Transport Operator,, 2000-01-12 00:00:00,JDL, 
 64C,A,O,Veterinary Laboratory Animal Medicine Officer,, 2000-01-12 00:00:00,JDL, 
 64D,A,O,Veterinary Pathologist,, 2000-01-12 00:00:00,JDL, 
 64E,A,O,Veterinary Microbiologist,, 2000-01-12 00:00:00,JDL, 
 64F,A,O,Veterinary Comparative Medicine Officer,, 2000-01-12 00:00:00,JDL, 
 64Z,A,E,Transportation Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 65A,A,O,Occupational Therapy,, 2000-01-12 00:00:00,JDL, 
 65B,A,E,Locomotive Repairer (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 65B,A,O,Physical Therapy,, 2000-01-12 00:00:00,JDL, 
 65C,A,E,Diesel-Electric Locomotive Repairman,, 2000-01-12 00:00:00,JDL, 
 65C,A,O,Dietitian,, 2000-01-12 00:00:00,JDL, 
 65D,A,E,Railway Car Repairer (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 65D,A,O,Physician's Assistant,, 2000-01-12 00:00:00,JDL, 
 65E,A,E,Airbrake Repairer (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 65F,A,E,Locomotive Electrician (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 65G,A,E,Railway Section Repairer (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 65H,A,E,Locomotive Operator (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 65J,A,E,Train Crewmember (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 65K,A,E,Railway Movement Coordinator (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 65Z,A,E,Railway Senior Sergeant (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 66A,A,O,Nurse Administrator,, 2000-01-12 00:00:00,JDL, 
 66B,A,O,Community Health Nurse,, 2000-01-12 00:00:00,JDL, 
 66C,A,O,Psychiatric/Mental Health Nurse,, 2000-01-12 00:00:00,JDL, 
 66D,A,O,Pediatric Nurse,, 2000-01-12 00:00:00,JDL, 
 66D-8E,A,O,Pediatric Nurse Practitioner,, 2000-01-12 00:00:00,JDL, 
 66E,A,O,Operating Room Nurse,, 2000-01-12 00:00:00,JDL, 
 66F,A,O,Nurse Anesthetist,, 2000-01-12 00:00:00,JDL, 
 66G,A,E,Utility Airplane Technical Inspector,, 2000-01-12 00:00:00,JDL, 
 66G,A,O,Obstetric & Gynecologic Nurse,, 2000-01-12 00:00:00,JDL, 
 66G-8D,A,O,Nurse Midwife,, 2000-01-12 00:00:00,JDL, 
 66G-8E,A,O,Obstetric & Gynecologic Nurse Practitioner,, 2000-01-12 00:00:00,JDL, 
 66H,A,E,Observation Airplane Technical Inspector,, 2000-01-12 00:00:00,JDL, 
 66H,A,O,Medical Surgical Nurse,, 2000-01-12 00:00:00,JDL, 
 66J,A,E,Aircraft Armament Technical Inspector,, 2000-01-12 00:00:00,JDL, 
 66J,A,O,Clinical Nurse,, 2000-01-12 00:00:00,JDL, 
 66N,A,E,Utility Helicopter Technical Inspector,, 2000-01-12 00:00:00,JDL, 
 66N,A,O,Generalist Nurse,, 2000-01-12 00:00:00,JDL, 
 66R,A,E,Attack Helicopter (AH-64) Technical Inspector,, 2000-01-12 00:00:00,JDL, 
 66S,A,E,Scout Helicopter Technical Inspector (NISH),, 2000-01-12 00:00:00,JDL, 
 66T,A,E,Tactical Transport Helicopter Technical Inspector,, 2000-01-12 00:00:00,JDL, 
 66U,A,E,Medium Helicopter Technical Inspector,, 2000-01-12 00:00:00,JDL, 
 66V,A,E,Observation/Scout Helicopter Technical Inspector,, 2000-01-12 00:00:00,JDL, 
 66X,A,E,Heavylift Helicopter Technical Inspector,, 2000-01-12 00:00:00,JDL, 
 66Y,A,E,Attack Helicopter (AH-1) Technical Inspector,, 2000-01-12 00:00:00,JDL, 
 670,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 670A,A,W,Health Services Maintenance Technician,, 2000-01-12 00:00:00,JDL, 
 671C,A,W,"Aircraft Repair Technician, Rotary Wing Rated",, 2000-01-12 00:00:00,JDL, 
 671E,A,W,"Aircraft Repair Technician, Rotary & Fixed Wing Rated",, 2000-01-12 00:00:00,JDL, 
 67A,A,O,Health Services,, 2000-01-12 00:00:00,JDL, 
 67B,A,E,O-1/U-6 Airplane Repairman,, 2000-01-12 00:00:00,JDL, 
 67B,A,O,Laboratory Sciences,, 2000-01-12 00:00:00,JDL, 
 67C,A,E,U-1A Airplane Repairman,, 2000-01-12 00:00:00,JDL, 
 67C,A,O,Preventive Medicine Sciences,, 2000-01-12 00:00:00,JDL, 
 67D,A,O,Behavioral Sciences,, 2000-01-12 00:00:00,JDL, 
 67E,A,O,Pharmacy,, 2000-01-12 00:00:00,JDL, 
 67F,A,E,Airplane Technical Inspector,, 2000-01-12 00:00:00,JDL, 
 67F,A,O,Optometry,, 2000-01-12 00:00:00,JDL, 
 67G,A,E,Utility Airplane Repairer,, 2000-01-12 00:00:00,JDL, 
 67G,A,O,Podiatry,, 2000-01-12 00:00:00,JDL, 
 67H,A,E,Observation Airplane Repairer,, 2000-01-12 00:00:00,JDL, 
 67H,A,O,"Health Services Plans, Operations, Intelligence & Trng. Officer",, 2000-01-12 00:00:00,JDL, 
 67J,A,O,Aeromedical Evacuation,, 2000-01-12 00:00:00,JDL, 
 67K,A,O,Health Services Materiel Officer,, 2000-01-12 00:00:00,JDL, 
 67L,A,O,Health Facilities Planning Officer,, 2000-01-12 00:00:00,JDL, 
 67M,A,E,OH-13/OH-23 Helicopter Repairman,, 2000-01-12 00:00:00,JDL, 
 67N,A,E,UH-1 Helicopter Repairer,, 2000-01-12 00:00:00,JDL, 
 67R,A,E,Attack Helicopter Repairer (AH-64),, 2000-01-12 00:00:00,JDL, 
 67S,A,E,Scout Helicopter Repairer (NISH),, 2000-01-12 00:00:00,JDL, 
 67T,A,E,UH-60 Helicopter Repairer,, 2000-01-12 00:00:00,JDL, 
 67U,A,E,CH-47 Helicopter Repairer,, 2000-01-12 00:00:00,JDL, 
 67V,A,E,Observation/Scout Helicopter Repairer,, 2000-01-12 00:00:00,JDL, 
 67W,A,E,Aircraft Quality Control Supervisor,, 2000-01-12 00:00:00,JDL, 
 67X,A,E,Heavy Lift Helicopter Repairer,, 2000-01-12 00:00:00,JDL, 
 67Y,A,E,AH-1 Attack Helicopter Repairer,, 2000-01-12 00:00:00,JDL, 
 67Z,A,E,Aircraft Maintenance Senior Sergeant,, 2000-01-12 00:00:00,JDL, 
 68A,A,O,Microbiologist,, 2000-01-12 00:00:00,JDL, 
 68B,A,E,Aircraft Powerplant Repairer,, 2000-01-12 00:00:00,JDL, 
 68B,A,O,Nuclear Medical Science Officer,, 2000-01-12 00:00:00,JDL, 
 68C,A,O,Biochemist,, 2000-01-12 00:00:00,JDL, 
 68D,A,E,Aircraft Powertrain Repairer,, 2000-01-12 00:00:00,JDL, 
 68D,A,O,Parasitologist,, 2000-01-12 00:00:00,JDL, 
 68E,A,E,Aircraft Rotor & Propeller Repairman,, 2000-01-12 00:00:00,JDL, 
 68E,A,O,Immunologist,, 2000-01-12 00:00:00,JDL, 
 68F,A,E,Aircraft Electrician,, 2000-01-12 00:00:00,JDL, 
 68F,A,O,Clinical Laboratory Officer/Laboratory Manager,, 2000-01-12 00:00:00,JDL, 
 68G,A,E,Aircraft Structural Repairer,, 2000-01-12 00:00:00,JDL, 
 68G,A,O,Entomologist,, 2000-01-12 00:00:00,JDL, 
 68H,A,E,Aircraft Pneudraulics Repairer,, 2000-01-12 00:00:00,JDL, 
 68H,A,O,Pharmacy Officer,, 2000-01-12 00:00:00,JDL, 
 68J,A,E,Aircraft Armament/Missile Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 68J,A,O,Physiologist,, 2000-01-12 00:00:00,JDL, 
 68K,A,E,Aircraft Components Repair Supervisor,, 2000-01-12 00:00:00,JDL, 
 68K,A,O,Optometry Officer,, 2000-01-12 00:00:00,JDL, 
 68L,A,E,Avionic Communications Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 68L,A,O,Podiatrist,, 2000-01-12 00:00:00,JDL, 
 68M,A,E,Aircraft Weapons Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 68M,A,O,Audiologist,, 2000-01-12 00:00:00,JDL, 
 68N,A,E,Avionic Mechanic,, 2000-01-12 00:00:00,JDL, 
 68N,A,O,Environmental Science Officer,, 2000-01-12 00:00:00,JDL, 
 68P,A,E,Avionics Maintenance Supervisor,, 2000-01-12 00:00:00,JDL, 
 68P,A,O,Sanitary Engineer,, 2000-01-12 00:00:00,JDL, 
 68Q,A,E,Avionic Flight Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 68Q,A,O,Military Community Oral Health Manager,, 2000-01-12 00:00:00,JDL, 
 68R,A,E,Avionic Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 68R,A,O,Social Work Officer,, 2000-01-12 00:00:00,JDL, 
 68S,A,O,Clinical Psychologist,, 2000-01-12 00:00:00,JDL, 
 68T,A,O,Research Psychologist,, 2000-01-12 00:00:00,JDL, 
 68U,A,O,Psychology Associate,, 2000-01-12 00:00:00,JDL, 
 68X,A,E,AH-64 Armament/Electrical Systems,, 2000-01-12 00:00:00,JDL, 
 68Y,A,E,AH-64D Armament/Electrical/Avionics Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 700,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 7004,A,O,Division Engineer,, 2000-01-12 00:00:00,JDL, 
 7010,A,O,Engineer Staff Officer,, 2000-01-12 00:00:00,JDL, 
